code,track_id,resource_key,layer,loop,master_file,asset_status,start_seconds,playback_duration_seconds,default_volume,angle_rad,radius,asset_duration_seconds,requires_engine_crossfade,crossfade_ms,license_status,measured_lufs,true_peak_dbtp,measurement_tool,measurement_date,usage
A01-L,3c6c0188-1f35-57b6-adbd-1041997e6c91,hair_wash_water_cycle,environment,true,dw_ref_env_hair_wash_water_cycle_loop_sc_hair_far_v03_t01.wav,ref,0.0,113.0,0.2,0.18,0.92,48.75,true,1200,pending,-25.15,-3.5,ffmpeg loudnorm + numpy spectral QC,2026-08-05,开场、调水和退出阶段的远景水循环
A02,a8f15c0f-c610-51c9-ba22-81e33c5856f6,hair_wash_wet,environment,false,dw_ref_env_hair_wash_wet_oneshot_sc_hair_wet_v03_t01.wav,ref,127.0,35.0,0.33,0.0,0.66,29.975,false,0,pending,-24.99,-3.5,ffmpeg loudnorm + numpy spectral QC,2026-08-05,两段打湿和湿发拨动
A03,94054d67-d558-5f60-90b4-5370ec3b73fc,hair_wash_foam_start,trigger,false,dw_ref_trg_hair_wash_foam_start_oneshot_sc_hair_near_v03_t01.wav,ref,188.0,3.4,0.45,-0.35,0.32,3.4,false,0,pending,-23.4,-3.47,ffmpeg loudnorm + numpy spectral QC,2026-08-05,取用洗发水时的一次按压
A04-L,ac3556b2-8b76-5cd1-8468-66f691f428da,hair_wash_foam_rub,ambience,true,dw_ref_amb_hair_wash_foam_rub_loop_sc_hair_near_v03_t01.wav,ref,191.0,58.0,0.38,-0.28,0.42,108.75,true,1200,pending,-22.94,-3.5,ffmpeg loudnorm + numpy spectral QC,2026-08-05,泡沫初起、铺开、左侧揉洗和纯声留白
A05-L,8c298978-b530-5d36-be43-dc85e5454e0d,hair_wash_scalp_foam,ambience,true,dw_ref_amb_hair_wash_scalp_foam_loop_sc_hair_near_v03_t01.wav,ref,260.0,32.0,0.4,0.25,0.39,108.75,true,1200,pending,-23.11,-3.43,ffmpeg loudnorm + numpy spectral QC,2026-08-05,头皮、头顶和左右耳侧泡沫按摩
A07,9696d138-6fb3-5941-beb2-42075a5d83cb,hair_wash_rinse,environment,false,dw_ref_env_hair_wash_rinse_oneshot_sc_hair_wet_v03_t01.wav,ref,370.0,43.0,0.36,0.45,0.68,44.975,false,0,pending,-25.1,-3.53,ffmpeg loudnorm + numpy spectral QC,2026-08-05,三段冲洗与湿发整理
A10-L,8cfbe72f-83c1-56af-b744-ed5cee179aa8,hair_wash_finger_massage,ambience,true,dw_ref_amb_hair_wash_finger_massage_loop_sc_hair_near_v03_t01.wav,ref,520.0,22.0,0.34,0.32,0.34,134.75,true,1200,pending,-24.27,-3.22,ffmpeg loudnorm + numpy spectral QC,2026-08-05,收束阶段的指腹头皮按摩
A11,f5bc37e9-6721-5ef5-bf29-daa5327aea59,hair_towel,trigger,false,dw_ref_trg_hair_towel_press_oneshot_sc_hair_soft_v05_t01.wav,ref,459.0,12.0,0.43,-0.55,0.34,6.0,false,0,pending,-22.44,-3.66,ffmpeg loudnorm + numpy spectral QC,2026-08-05,两组低底噪三次毛巾轻按
A12,798599d3-a11c-544e-a73e-81519276cb9d,water_drip_roomtone,ambience,false,dw_ref_amb_water_drip_sparse_oneshot_sc_room_far_v01_t01.wav,ref,30.0,50.0,0.22,-0.62,0.9,25.0,false,0,pending,-33.57,-9.93,ffmpeg loudnorm + numpy spectral QC,2026-08-05,两段稀疏远景滴水，替代 ac_hum
V01,334534b8-e8bc-5ff7-98c4-80af0ab98ca9,voice_phrase_01,voice,false,dw_ref_vox_hair_wash_phrase_01_oneshot_sc_hair_center_v02_t01.wav,ref,3.0,4.1,0.68,0.0,0.38,4.1,false,0,pending,-40.23,-16.54,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 01；0dB 增益、无降噪/压缩/补静音
V02,6c756118-9f47-5135-b4f8-780d1b1ae22c,voice_phrase_02,voice,false,dw_ref_vox_hair_wash_phrase_02_oneshot_sc_hair_center_v02_t01.wav,ref,35.0,2.6,0.68,0.0,0.38,2.6,false,0,pending,-37.73,-20.42,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 02；0dB 增益、无降噪/压缩/补静音
V03,23526a62-70ed-52ec-8117-be50dcb45942,voice_phrase_03,voice,false,dw_ref_vox_hair_wash_phrase_03_oneshot_sc_hair_center_v02_t01.wav,ref,58.0,2.95,0.68,0.0,0.38,2.95,false,0,pending,-42.03,-23.1,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 03；0dB 增益、无降噪/压缩/补静音
V04,fec93bda-1ddb-5836-9903-3799c17ee1b7,voice_phrase_04,voice,false,dw_ref_vox_hair_wash_phrase_04_oneshot_sc_hair_center_v02_t01.wav,ref,88.0,4.55,0.68,0.0,0.38,4.55,false,0,pending,-41.52,-22.57,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 04；0dB 增益、无降噪/压缩/补静音
V05,d55fb460-10a4-546c-90dd-18dd0b5dac18,voice_phrase_05,voice,false,dw_ref_vox_hair_wash_phrase_05_oneshot_sc_hair_center_v02_t01.wav,ref,118.0,4.15,0.68,0.0,0.38,4.15,false,0,pending,-40.82,-21.9,ffmpeg 8.1.2 loudnorm analysis,2026-08-05,原声直切提示句 05；0dB 增益、无降噪/压缩/补静音
